((EUG-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N044.19.12.568 W123.11.50.359 N044.19.02.888 W123.10.14.091 RVM 
    ; EUG VORTAC final approach course 332 from 1.0 to 14.0      
                          N044.05.16.490 W123.12.58.949 N044.04.17.114 W123.12.47.341 RVM 
                          N044.03.17.736 W123.12.35.740 N044.02.18.359 W123.12.24.145 RVM 
                          N044.01.18.981 W123.12.12.556 N044.00.19.603 W123.12.00.974 RVM 
                          N043.59.20.225 W123.11.49.398 N043.58.20.846 W123.11.37.828 RVM 
                          N043.57.21.467 W123.11.26.265 N043.56.22.087 W123.11.14.709 RVM 
                          N043.55.22.708 W123.11.03.159 N043.54.23.328 W123.10.51.615 RVM 
    ; EUG VORTAC final approach Full cross at DUKKS              
                          N044.02.22.944 W123.11.36.189 N044.02.13.264 W123.13.12.000 RVM 
    ; EUG VORTAC final approach Full cross at ERVIJ              
                          N043.58.25.269 W123.10.49.894 N043.58.15.589 W123.12.25.599 RVM 
    ; EUG VORTAC final approach Full cross at HUBSU              
                          N043.53.28.086 W123.09.52.155 N043.53.18.406 W123.11.27.727 RVM 
    ; KCVO 17 centerline                                        
                          N044.31.11.968 W123.17.17.725 N044.32.11.488 W123.17.07.564 RVM 
                          N044.33.11.008 W123.16.57.399 N044.34.10.528 W123.16.47.227 RVM 
                          N044.35.10.048 W123.16.37.049 N044.36.09.567 W123.16.26.866 RVM 
                          N044.37.09.086 W123.16.16.677 N044.38.08.605 W123.16.06.482 RVM 
                          N044.39.08.124 W123.15.56.281 N044.40.07.642 W123.15.46.075 RVM 
                          N044.41.07.160 W123.15.35.863 N044.42.06.678 W123.15.25.644 RVM 
                          N044.43.06.196 W123.15.15.420 N044.44.05.713 W123.15.05.191 RVM 
    ; KCVO 17 center cross at 10.0                              
                          N044.40.11.839 W123.16.34.618 N044.40.03.440 W123.14.57.534 RVM 
    ; KCVO 17 center cross at ZIKDO                             
                          N044.38.06.245 W123.16.56.119 N044.37.57.846 W123.15.19.094 RVM 
    ; CVO VORDME final approach course 177 from 0.0 to 10.0      
                          N044.30.56.366 W123.17.15.446 N044.31.54.281 W123.16.53.670 RVM 
                          N044.32.52.194 W123.16.31.882 N044.33.50.107 W123.16.10.083 RVM 
                          N044.34.48.018 W123.15.48.271 N044.35.45.928 W123.15.26.447 RVM 
                          N044.36.43.837 W123.15.04.612 N044.37.41.745 W123.14.42.764 RVM 
                          N044.38.39.651 W123.14.20.904 N044.39.37.557 W123.13.59.031 RVM 
